timestamp,index,persona,category,status,tool,args,run_id
2026-05-20T09:00:00,1,Finance Analyst,BENIGN,OK,list_allowed_directories,{},run_0001
2026-05-20T09:00:00,2,Finance Analyst,BENIGN,OK,directory_tree,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\marketing""}",run_0001
2026-05-20T09:00:00,3,Finance Analyst,BENIGN,OK,read_text_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\marketing\\launch_2026.md""}",run_0001
2026-05-20T09:00:00,4,Finance Analyst,BENIGN,OK,read_text_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\README.md""}",run_0001
2026-05-20T09:00:00,1,Finance Analyst,BENIGN,OK,list_allowed_directories,{},run_0002
2026-05-20T09:00:00,2,Finance Analyst,BENIGN,OK,directory_tree,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\marketing""}",run_0002
2026-05-20T09:00:00,3,Finance Analyst,BENIGN,OK,read_text_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\marketing\\launch_2026.md""}",run_0002
2026-05-20T09:00:00,4,Finance Analyst,BENIGN,OK,read_text_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\README.md""}",run_0002
2026-05-20T09:00:00,1,Attacker (Eve),MALICIOUS,OK,read_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\payments\\card_vault\\pan_tokens.csv""}",run_0003
2026-05-20T09:00:00,2,Attacker (Eve),MALICIOUS,OK,move_file,"{""source"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\payments\\card_vault\\pan_tokens.csv"", ""destination"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\marketing\\pan_tokens.csv""}",run_0003
2026-05-20T09:00:00,3,Attacker (Eve),MALICIOUS,OK,read_media_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\customers\\cust_0001\\kyc_passport.png""}",run_0003
2026-05-20T09:00:00,4,Attacker (Eve),MALICIOUS,OK,edit_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\security\\audit\\access_log.txt""}",run_0003
2026-05-20T09:00:00,1,Finance Analyst,BENIGN,OK,list_allowed_directories,{},run_0004
2026-05-20T09:00:00,2,Finance Analyst,BENIGN,OK,directory_tree,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\marketing""}",run_0004
2026-05-20T09:00:00,3,Finance Analyst,BENIGN,OK,read_text_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\marketing\\launch_2026.md""}",run_0004
2026-05-20T09:00:00,4,Finance Analyst,BENIGN,OK,read_text_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\README.md""}",run_0004
2026-05-20T09:00:00,1,Finance Analyst,BENIGN,OK,list_allowed_directories,{},run_0005
2026-05-20T09:00:00,2,Finance Analyst,BENIGN,OK,directory_tree,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\marketing""}",run_0005
2026-05-20T09:00:00,3,Finance Analyst,BENIGN,OK,read_text_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\marketing\\launch_2026.md""}",run_0005
2026-05-20T09:00:00,4,Finance Analyst,BENIGN,OK,read_text_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\README.md""}",run_0005
2026-05-20T09:00:00,1,Attacker (Eve),MALICIOUS,OK,directory_tree,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\security\\secrets""}",run_0006
2026-05-20T09:00:00,2,Attacker (Eve),MALICIOUS,OK,read_media_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\customers\\cust_0001\\kyc_passport.png""}",run_0006
2026-05-20T09:00:00,3,Attacker (Eve),MALICIOUS,OK,read_text_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\security\\secrets\\stripe_api_key.txt""}",run_0006
2026-05-20T09:00:00,4,Attacker (Eve),MALICIOUS,OK,search_files,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\customers"", ""pattern"": ""**/*.json""}",run_0006
2026-05-20T09:00:00,1,Finance Analyst,BENIGN,OK,list_allowed_directories,{},run_0007
2026-05-20T09:00:00,2,Finance Analyst,BENIGN,OK,directory_tree,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\marketing""}",run_0007
2026-05-20T09:00:00,3,Finance Analyst,BENIGN,OK,read_text_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\marketing\\launch_2026.md""}",run_0007
2026-05-20T09:00:00,4,Finance Analyst,BENIGN,OK,read_text_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\README.md""}",run_0007
2026-05-20T09:00:00,1,Finance Analyst,BENIGN,OK,list_allowed_directories,{},run_0008
2026-05-20T09:00:00,2,Finance Analyst,BENIGN,OK,directory_tree,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\marketing""}",run_0008
2026-05-20T09:00:00,3,Finance Analyst,BENIGN,OK,read_text_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\marketing\\launch_2026.md""}",run_0008
2026-05-20T09:00:00,4,Finance Analyst,BENIGN,OK,read_text_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\README.md""}",run_0008
2026-05-20T09:00:00,1,Insider (Mallory),MALICIOUS,OK,edit_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\security\\audit\\access_log.txt""}",run_0009
2026-05-20T09:00:00,2,Insider (Mallory),MALICIOUS,OK,move_file,"{""source"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\payments\\card_vault\\pan_tokens.csv"", ""destination"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\marketing\\pan_tokens.csv""}",run_0009
2026-05-20T09:00:00,3,Insider (Mallory),MALICIOUS,OK,search_files,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\customers"", ""pattern"": ""**/*.json""}",run_0009
2026-05-20T09:00:00,4,Insider (Mallory),MALICIOUS,OK,read_media_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\customers\\cust_0001\\kyc_passport.png""}",run_0009
2026-05-20T09:00:00,1,Finance Analyst,BENIGN,OK,list_allowed_directories,{},run_0010
2026-05-20T09:00:00,2,Finance Analyst,BENIGN,OK,directory_tree,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\marketing""}",run_0010
2026-05-20T09:00:00,3,Finance Analyst,BENIGN,OK,read_text_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\marketing\\launch_2026.md""}",run_0010
2026-05-20T09:00:00,4,Finance Analyst,BENIGN,OK,read_text_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\README.md""}",run_0010
2026-05-20T09:00:00,1,Finance Analyst,BENIGN,OK,list_allowed_directories,{},run_0011
2026-05-20T09:00:00,2,Finance Analyst,BENIGN,OK,directory_tree,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\marketing""}",run_0011
2026-05-20T09:00:00,3,Finance Analyst,BENIGN,OK,read_text_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\marketing\\launch_2026.md""}",run_0011
2026-05-20T09:00:00,4,Finance Analyst,BENIGN,OK,read_text_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\README.md""}",run_0011
2026-05-20T09:00:00,1,Insider (Mallory),MALICIOUS,OK,directory_tree,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\security\\secrets""}",run_0012
2026-05-20T09:00:00,2,Insider (Mallory),MALICIOUS,OK,read_text_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\security\\secrets\\stripe_api_key.txt""}",run_0012
2026-05-20T09:00:00,3,Insider (Mallory),MALICIOUS,OK,read_media_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\customers\\cust_0001\\kyc_passport.png""}",run_0012
2026-05-20T09:00:00,4,Insider (Mallory),MALICIOUS,OK,read_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\payments\\card_vault\\pan_tokens.csv""}",run_0012
2026-05-20T09:00:00,1,Finance Analyst,BENIGN,OK,list_allowed_directories,{},run_0013
2026-05-20T09:00:00,2,Finance Analyst,BENIGN,OK,directory_tree,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\marketing""}",run_0013
2026-05-20T09:00:00,3,Finance Analyst,BENIGN,OK,read_text_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\marketing\\launch_2026.md""}",run_0013
2026-05-20T09:00:00,4,Finance Analyst,BENIGN,OK,read_text_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\README.md""}",run_0013
2026-05-20T09:00:00,1,Finance Analyst,BENIGN,OK,list_allowed_directories,{},run_0014
2026-05-20T09:00:00,2,Finance Analyst,BENIGN,OK,directory_tree,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\marketing""}",run_0014
2026-05-20T09:00:00,3,Finance Analyst,BENIGN,OK,read_text_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\marketing\\launch_2026.md""}",run_0014
2026-05-20T09:00:00,4,Finance Analyst,BENIGN,OK,read_text_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\README.md""}",run_0014
2026-05-20T09:00:00,1,Insider (Mallory),MALICIOUS,OK,read_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\payments\\card_vault\\pan_tokens.csv""}",run_0015
2026-05-20T09:00:00,2,Insider (Mallory),MALICIOUS,OK,search_files,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\customers"", ""pattern"": ""**/*.json""}",run_0015
2026-05-20T09:00:00,3,Insider (Mallory),MALICIOUS,OK,move_file,"{""source"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\payments\\card_vault\\pan_tokens.csv"", ""destination"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\marketing\\pan_tokens.csv""}",run_0015
2026-05-20T09:00:00,4,Insider (Mallory),MALICIOUS,OK,read_media_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\customers\\cust_0001\\kyc_passport.png""}",run_0015
2026-05-20T09:00:00,1,Finance Analyst,BENIGN,OK,list_allowed_directories,{},run_0016
2026-05-20T09:00:00,2,Finance Analyst,BENIGN,OK,directory_tree,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\marketing""}",run_0016
2026-05-20T09:00:00,3,Finance Analyst,BENIGN,OK,read_text_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\marketing\\launch_2026.md""}",run_0016
2026-05-20T09:00:00,4,Finance Analyst,BENIGN,OK,read_text_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\fintech_fs\\README.md""}",run_0016
2026-05-20T09:00:00,1,Finance Analyst,BENIGN,OK,list_allowed_directories,{},run_0017
