timestamp,index,category,status,tool,args_keys,elapsed_s,response_preview
2026-04-26T11:26:48,1,VALID,OK,create_entities,['entities'],0.133,[]
2026-04-26T11:26:48,2,VALID,OK,create_entities,['entities'],0.029,[]
2026-04-26T11:26:49,3,VALID,OK,create_entities,['entities'],0.048,[]
2026-04-26T11:26:49,4,VALID,OK,create_relations,['relations'],0.040,[]
2026-04-26T11:26:49,5,VALID,OK,create_relations,['relations'],0.048,[]
2026-04-26T11:26:49,6,VALID,OK,add_observations,['observations'],0.047,"[   {     ""entityName"": ""MCP"",     ""addedObservations"": []   } ]"
2026-04-26T11:26:50,7,VALID,OK,read_graph,[],0.013,"{   ""entities"": [     {       ""name"": ""MCP"",       ""entityType"": ""Protocol"",       ""observations"": [         ""Model Context Protocol"",         ""JSON-RPC based"",         ""Designed in 2024 by Anthropic"",         ""${7*7}""       ]     },     {       ""name"": ""Agent"",       ""entityType"": ""Actor"",       ""o"
2026-04-26T11:26:50,8,VALID,OK,search_nodes,['query'],0.012,"{   ""entities"": [     {       ""name"": ""MCP"",       ""entityType"": ""Protocol"",       ""observations"": [         ""Model Context Protocol"",         ""JSON-RPC based"",         ""Designed in 2024 by Anthropic"",         ""${7*7}""       ]     },     {       ""name"": ""Agent"",       ""entityType"": ""Actor"",       ""o"
2026-04-26T11:26:50,9,VALID,OK,search_nodes,['query'],0.018,"{   ""entities"": [     {       ""name"": ""Agent"",       ""entityType"": ""Actor"",       ""observations"": [         ""AI agent that calls MCP tools""       ]     },     {       ""name"": ""Server"",       ""entityType"": ""Component"",       ""observations"": [         ""Exposes tools to agents""       ]     }   ],   ""re"
2026-04-26T11:26:50,10,VALID,OK,open_nodes,['names'],0.014,"{   ""entities"": [     {       ""name"": ""MCP"",       ""entityType"": ""Protocol"",       ""observations"": [         ""Model Context Protocol"",         ""JSON-RPC based"",         ""Designed in 2024 by Anthropic"",         ""${7*7}""       ]     },     {       ""name"": ""Agent"",       ""entityType"": ""Actor"",       ""o"
2026-04-26T11:26:51,11,BAD_TOOL,OK,createEntity,[],0.011,MCP error -32602: Tool createEntity not found
2026-04-26T11:26:51,12,BAD_TOOL,OK,query_graph,[],0.008,MCP error -32602: Tool query_graph not found
2026-04-26T11:26:51,13,BAD_TOOL,OK,,[],0.010,MCP error -32602: Tool  not found
2026-04-26T11:26:51,14,BAD_TOOL,OK,delete_all,[],0.010,MCP error -32602: Tool delete_all not found
2026-04-26T11:26:51,15,BAD_PARAMS,OK,create_entities,[],0.009,"MCP error -32602: Input validation error: Invalid arguments for tool create_entities: [   {     ""expected"": ""array"",     ""code"": ""invalid_type"",     ""path"": [       ""entities""     ],     ""message"": ""Invalid input: expected array, received undefined""   } ]"
2026-04-26T11:26:52,16,BAD_PARAMS,OK,search_nodes,[],0.011,"MCP error -32602: Input validation error: Invalid arguments for tool search_nodes: [   {     ""expected"": ""string"",     ""code"": ""invalid_type"",     ""path"": [       ""query""     ],     ""message"": ""Invalid input: expected string, received undefined""   } ]"
2026-04-26T11:26:52,17,BAD_PARAMS,OK,open_nodes,[],0.010,"MCP error -32602: Input validation error: Invalid arguments for tool open_nodes: [   {     ""expected"": ""array"",     ""code"": ""invalid_type"",     ""path"": [       ""names""     ],     ""message"": ""Invalid input: expected array, received undefined""   } ]"
2026-04-26T11:26:52,18,BAD_PARAMS,OK,add_observations,['observations'],0.012,Entity with name NonExistent not found
2026-04-26T11:26:52,19,EDGE,OK,create_entities,['entities'],0.018,[]
2026-04-26T11:26:52,20,EDGE,OK,search_nodes,['query'],0.042,"{   ""entities"": [],   ""relations"": [] }"
2026-04-26T11:26:53,21,EDGE,OK,create_entities,['entities'],0.019,[]
2026-04-26T11:26:53,22,EDGE,OK,search_nodes,['query'],0.015,"{   ""entities"": [],   ""relations"": [] }"
2026-04-26T11:26:53,23,EDGE,OK,add_observations,['observations'],0.020,"[   {     ""entityName"": ""MCP"",     ""addedObservations"": []   } ]"
